method,eta0,alpha,penalty,class_weight,val_pr_auc,test_pr_auc,runtime_s,seed,fold
halving_grid,0.0003,1e-05,l1,balanced,0.2017,,,42,predefined_split
halving_grid,0.0003,1e-05,l1,balanced,0.2017,,,42,predefined_split
halving_grid,0.0003,0.0001,l1,balanced,0.2017,,,42,predefined_split
halving_grid,0.0003,0.0001,l1,balanced,0.2017,,,42,predefined_split
halving_grid,0.0003,0.001,l2,balanced,0.2016,,,42,predefined_split
halving_grid,0.0003,0.001,l2,balanced,0.2016,,,42,predefined_split
halving_grid,0.001,0.0001,l1,balanced,0.2015,,,42,predefined_split
halving_grid,0.001,0.0001,l1,balanced,0.2015,,,42,predefined_split
halving_grid,0.001,0.001,l2,balanced,0.2009,,,42,predefined_split
halving_grid,0.001,0.001,l2,balanced,0.2009,,,42,predefined_split
halving_grid,0.01,1e-05,l1,,0.2007,,,42,predefined_split
halving_grid,0.01,1e-05,l1,,0.2007,,,42,predefined_split
halving_grid,0.001,1e-05,l1,balanced,0.2006,,,42,predefined_split
halving_grid,0.001,1e-05,l1,balanced,0.2006,,,42,predefined_split
halving_grid,0.0003,1e-05,l2,,0.2002,,,42,predefined_split
halving_grid,0.0003,1e-05,l2,,0.2002,,,42,predefined_split
halving_grid,0.0003,1e-06,l2,,0.2002,,,42,predefined_split
halving_grid,0.0003,0.0001,l2,,0.2002,,,42,predefined_split
halving_grid,0.0003,1e-06,l1,,0.2002,,,42,predefined_split
halving_grid,0.0003,0.001,l2,,0.2002,,,42,predefined_split
halving_grid,0.0003,1e-05,l1,,0.2001,,,42,predefined_split
halving_grid,0.003,0.001,l1,balanced,0.1999,,,42,predefined_split
halving_grid,0.0003,0.0001,l1,,0.1997,,,42,predefined_split
halving_grid,0.01,0.001,l1,balanced,0.1996,,,42,predefined_split
halving_grid,0.0001,1e-06,l1,balanced,0.1995,,,42,predefined_split
halving_grid,0.0001,1e-05,l2,balanced,0.1995,,,42,predefined_split
halving_grid,0.0001,1e-06,l2,balanced,0.1995,,,42,predefined_split
halving_grid,0.0001,0.0001,l2,balanced,0.1995,,,42,predefined_split
halving_grid,0.0001,0.001,l2,balanced,0.1995,,,42,predefined_split
halving_grid,0.0001,1e-05,l1,balanced,0.1995,,,42,predefined_split
halving_grid,0.0001,0.0001,l1,balanced,0.1993,,,42,predefined_split
halving_grid,0.0001,1e-06,l2,,0.1992,,,42,predefined_split
halving_grid,0.001,0.001,l1,balanced,0.1992,,,42,predefined_split
halving_grid,0.0001,1e-05,l2,,0.1992,,,42,predefined_split
halving_grid,0.0001,1e-06,l1,,0.1992,,,42,predefined_split
halving_grid,0.0001,0.0001,l2,,0.1992,,,42,predefined_split
halving_grid,0.0001,1e-05,l1,,0.1992,,,42,predefined_split
halving_grid,0.0001,0.001,l2,,0.1991,,,42,predefined_split
halving_grid,0.01,1e-05,l2,,0.199,,,42,predefined_split
halving_grid,0.01,1e-06,l1,,0.199,,,42,predefined_split
halving_grid,0.0001,0.0001,l1,,0.199,,,42,predefined_split
halving_grid,0.001,0.001,l1,,0.1989,,,42,predefined_split
halving_grid,0.0003,0.001,l1,balanced,0.1989,,,42,predefined_split
halving_grid,0.003,0.0001,l1,balanced,0.1989,,,42,predefined_split
halving_grid,0.01,1e-06,l2,,0.1988,,,42,predefined_split
halving_grid,0.0003,0.001,l1,,0.1985,,,42,predefined_split
halving_grid,0.0001,0.001,l1,,0.1985,,,42,predefined_split
halving_grid,0.003,0.001,l2,balanced,0.1984,,,42,predefined_split
halving_grid,0.01,0.001,l1,,0.1983,,,42,predefined_split
halving_grid,0.0001,0.001,l1,balanced,0.1981,,,42,predefined_split
halving_grid,0.001,1e-06,l1,balanced,0.1978,,,42,predefined_split
halving_grid,0.001,0.0001,l2,balanced,0.1978,,,42,predefined_split
halving_grid,0.001,1e-05,l2,balanced,0.1977,,,42,predefined_split
halving_grid,0.001,1e-06,l2,balanced,0.1977,,,42,predefined_split
halving_grid,0.003,1e-05,l1,balanced,0.1966,,,42,predefined_split
halving_grid,0.003,0.001,l1,,0.1936,,,42,predefined_split
halving_grid,0.01,1e-05,l1,balanced,0.1924,,,42,predefined_split
halving_grid,0.01,0.0001,l2,,0.1917,,,42,predefined_split
halving_grid,0.01,0.001,l2,,0.1916,,,42,predefined_split
halving_grid,0.003,1e-06,l1,balanced,0.1866,,,42,predefined_split
halving_grid,0.003,1e-06,l2,balanced,0.1864,,,42,predefined_split
halving_grid,0.01,0.0001,l1,balanced,0.184,,,42,predefined_split
halving_grid,0.003,0.0001,l2,balanced,0.1818,,,42,predefined_split
halving_grid,0.003,1e-05,l2,balanced,0.1817,,,42,predefined_split
halving_grid,0.01,1e-06,l1,balanced,0.1783,,,42,predefined_split
halving_grid,0.01,0.001,l2,balanced,0.1701,,,42,predefined_split
halving_grid,0.01,0.0001,l2,balanced,0.1551,,,42,predefined_split
halving_grid,0.01,1e-06,l2,balanced,0.1549,,,42,predefined_split
halving_grid,0.01,1e-05,l2,balanced,0.1548,,,42,predefined_split
